Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Gujarati Audio URL,Value,Sanskrit Content,Sanskrit Audio URL,Tier (Satsang Diksha Only)
Shloka 13,"In Satsang, superiority or inferiority should never be understood to be based on gender. All can attain moksha through devotion while observing the dharma prescribed for them.",સત્સંગમાં લિંગભેદથી ન્યૂનાધિકપણું ન જ સમજવું. બધા પોતપોતાની મર્યાદામાં રહી ભક્તિ વડે મુક્તિને પામી શકે છે. ,Satsangmā ling-bhedthī nyūnādhikpaṇu na ja samajavu. Badhā pot-potānī maryādāmā rahī bhakti vaḍe muktine pāmī shake chhe.,https://baps.box.com/shared/static/m8ow2p2n1nbtb28yzc6y86szflsswgno.mp3,1,"Naiva nyūnādhikatvam syāt satsange linga-bhedataha ।
Sva-sva-maryādayā sarve bhaktyā muktim samāpnuyuhu ॥13॥",https://baps.box.com/shared/static/6pszqojkcsvpo010s9r3cajt4afwtez1.mp3,shastri
Shloka 14-16,"All men and women of all castes are forever entitled to satsang, brahmavidyā and moksha. Do not attribute notions of superiority and inferiority based on varna. All persons should shun their ego based on their caste and serve one another. No one is superior and no one is inferior by birth. Therefore, one should not quarrel based on caste or class and should joyfully practice satsang.","સર્વ વર્ણના સર્વ સ્ત્રીઓ તથા સર્વ પુરુષો સદાય સત્સંગ, બ્રહ્મવિદ્યા અને મોક્ષના અધિકારી છે. વર્ણના આધારે ક્યારેય ન્યૂનાધિકભાવ ન કરવો. સર્વ જનોએ પોતાના વર્ણનું માન ત્યજીને પરસ્પર સેવા કરવી. જાતિએ કરીને કોઈ મહાન નથી અને કોઈ ન્યૂન પણ નથી. તેથી નાત-જાતને લઈને ક્લેશ ન કરવો ને સુખે સત્સંગ કરવો.","Sarva varṇanā sarva strīo tathā sarva puruṣho sadāy satsang, brahma-vidyā ane mokṣhanā adhikārī chhe. Varṇanā ādhāre kyārey nyūnādhik-bhāv na karavo. Sarva janoe potānā varṇanu mān tyajīne paraspar sevā karavī. Jātie karīne koī mahān nathī ane koī nyūn paṇ nathī. Tethī nāt-jātne laīne klesh na karavo ne sukhe satsang karavo.",https://baps.box.com/shared/static/rt7xqz5ghu07kkrcqeg7989e54guhs04.mp3,3,"Sarva-varṇa-gatāh sarvā nāryah sarve narās-tathā ।
Satsange brahmavidyāyām mokṣhe sadā’dhikāriṇaha ॥14॥
Na nyūnā’dhikatā kāryā varṇā’dhāreṇa karhichit ।
Tyaktvā sva-varṇa-mānam cha sevā kāryā mithah samaihi ॥15॥
Jātyā naiva mahān ko’pi naiva nyūnas-tathā yataha ।
Jātyā klesho na kartavyah sukham satsangam ācharet ॥16॥",https://baps.box.com/shared/static/prkboflmqffa47mnvmekr0ymhmi51z1o.mp3,shastri
Shloka 17,"Householders and renunciants are all entitled to moksha. Between them neither is inferior or superior, because householders and renunciants are all devotees of Bhagwan.","ગૃહસ્થ તથા ત્યાગી સર્વે મોક્ષના અધિકારી છે. તેમાં ન્યૂનાધિકભાવ નથી, કારણ કે ગૃહસ્થ કે ત્યાગી બધા ભગવાનના ભક્તો છે.","Gṛuhasth tathā tyāgī sarve mokṣhanā adhikārī chhe. Temā nyūnādhik-bhāv nathī, kāraṇ ke gṛuhasth ke tyāgī badhā Bhagwānnā bhakto chhe.",https://baps.box.com/shared/static/gmfjrmccjc7es7d2bb5oyxuwc3slfq7t.mp3,1,"Sarve’dhikāriṇo mokṣhe gṛuhiṇas-tyāgino’pi cha ।
Na nyūnā’dhikatā tatra sarve bhaktā yatah Prabhoho ॥17॥",https://baps.box.com/shared/static/2ly4ns9xwelyshbje9fgjzqyq1e5u6at.mp3,shastri
Shloka 18,"To offer singular, resolute, and supreme devotion to Bhagwan Swaminarayan, one should receive the Ashray Diksha Mantra and affiliate with the Satsang.","સ્વામિનારાયણ ભગવાનને વિષે અનન્ય, દૃઢ અને પરમ ભક્તિ માટે આશ્રયદીક્ષામંત્ર ગ્રહણ કરી સત્સંગ પ્રાપ્ત કરવો.","Swāminārāyaṇ Bhagwānne viṣhe ananya, dṛuḍh ane param bhakti māṭe āshraya-dīkṣhā-mantra grahaṇ karī satsang prāpta karavo.",https://baps.box.com/shared/static/s30x7p1ubx5tgwoxv1gcr9xtz3boem54.mp3,1,"Swāminārāyaṇe’nanya-dṛaḍha-parama-bhaktaye ।
Gṛuhītvā’shraya-dīkṣhāyā mantram satsangam āpnuyāt ॥18॥",https://baps.box.com/shared/static/s4390ndpp1eoy9ejysjmtndiszk7754f.mp3,shastri
Shloka 19,"The meaning of this mantra is as follows:
“Having taken refuge in Swaminarayan Bhagwan through the association of the Aksharbrahman guru, I am blessed, I am fulfilled, I am without sins, I am fearless and I am blissful.”","ધન્યોસ્મિ પૂર્ણકામોસ્મિ નિષ્પાપો નિર્ભયઃ સુખી।

અક્ષરગુરુયોગેન સ્વામિનારાયણાશ્રયાત્॥","Āshraya-dīkṣhā mantra ā pramāṇe chhe:
Dhanyosmi pūrṇakāmosmi niṣhpāpo nirbhayah sukhī ।
Akṣhara-guru-yogena Swāminārāyaṇ-āshrayāt ॥",https://baps.box.com/shared/static/10wdf6bl8ofy6z2s0kesp34as1zii2mu.mp3,1,"Āshraya-dīkṣhā-mantrash-chaivam vidhaha:
Dhanyo’smi pūrṇakāmo’smi niṣhpāpo nirbhayah sukhī ।
Akṣhara-guru-yogena Swāminārāyaṇā’shrayāt ॥19॥",https://baps.box.com/shared/static/qnc5j32e0gyvtdjwkhuvw58yqaqmot3r.mp3,shastri
Shloka 20,"For the moksha one’s ātmā, a mumukshu should lovingly take refuge of Sahajanand Shri Hari and the Aksharbrahman Gunatit guru.",મુમુક્ષુ પોતાના આત્માની મુક્તિ માટે સહજાનંદ શ્રીહરિ તથા અક્ષરબ્રહ્મ સ્વરૂપ ગુણાતીત ગુરુનો પ્રીતિએ કરીને આશરો કરે.,Mumukṣhu potānā ātmānī mukti māṭe Sahajānand Shrīhari tathā Akṣharbrahma swarūp guṇātīt guruno prītie karīne āsharo kare.,https://baps.box.com/shared/static/m0l9w9la7yx9h2ak55rqvdyz1parpuga.mp3,1,"Āshrayet Sahajānandam Harim Brahmā’kṣharam tathā ।
Guṇātītam gurum prītyā mumukṣhuh svātma-muktaye ॥20॥",https://baps.box.com/shared/static/p309hplvplg7kvsm0rw4fo8sbvnpf7d6.mp3,shastri
Shloka 21,"Upon taking the refuge of satsang, one should always wear a double-stranded wooden kanthi around the neck and accept the niyams of satsang.",સત્સંગનો આશરો કરી સદાય કંઠને વિષે કાષ્ઠની બેવડી માળા ધારણ કરવી તથા સત્સંગના નિયમો ધારણ કરવા.,Satsangno āsharo karī sadāy kanṭhne viṣhe kāṣhṭhnī bevaḍī māḷā dhāraṇ karavī tathā satsangnā niyamo dhāraṇ karavā.,https://baps.box.com/shared/static/joxnhnji87oifd3mfszul2dcrka40jpu.mp3,1,"Kāṣhṭha-jām dvi-guṇām mālām kaṇṭhe sadaiva dhārayet ।
Satsangam hi samāshritya satsanga-niyamāns-tathā ॥21॥",https://baps.box.com/shared/static/g8x7gljtl5g1nseko7sxboencavblnyl.mp3,shastri
Shloka 22,"In this world, brahmavidyā cannot be fully realized in life without the Brahmaswarup guru.",આ સંસારમાં બ્રહ્મસ્વરૂપ ગુરુ વિના જીવનમાં બ્રહ્મવિદ્યાનો તત્ત્વે કરીને સાક્ષાત્કાર ન થઈ શકે.,Ā sansārmā brahmaswarūp guru vinā jīvanmā brahma-vidyāno tattve karīne sākṣhātkār na thaī shake.,https://baps.box.com/shared/static/mye12pej046dbi9yw9ep0stvlo9ys8ig.mp3,1,"Gurum Brahmaswarūpam tu vinā na sambhaved bhave ।
Tattvato brahmavidyāyāh sākṣhātkāro hi jīvane ॥22॥",https://baps.box.com/shared/static/od8iq4fvkv91jx063v3xt3d4166y19yq.mp3,shastri
Shloka 23,"Without the Aksharbrahman guru, supreme, unwavering conviction (nishchay) in Paramatma cannot be attained and one’s ātmā also cannot acquire brahmabhāv. ",અક્ષરબ્રહ્મ ગુરુ વિના પરમાત્માનો ઉત્તમ નિર્વિકલ્પ નિશ્ચય ન થઈ શકે તથા પોતાના આત્માને વિષે બ્રહ્મભાવ પણ પ્રાપ્ત ન થઈ શકે.,Akṣharbrahma guru vinā Paramātmāno uttam nirvikalp nishchay na thaī shake tathā potānā ātmāne viṣhe brahmabhāv paṇ prāpta na thaī shake.,https://baps.box.com/shared/static/7kawvzm0kvdppzb4l5rc4gz57k0ykxs5.mp3,1,"Nottamo nirvikalpash-cha nishchayah Paramātmanaha ।
Na svātma-brahma-bhāvo’pi Brahmā’kṣharam gurum vinā ॥23॥",https://baps.box.com/shared/static/7f9wftudrku8dsu1v22sb1ns6vicff73.mp3,shastri
Shloka 24,"Without the Brahmaswarup guru, perfect devotion also cannot be offered, ultimate bliss cannot be attained and the three types of misery also cannot be eradicated. ","બ્રહ્મસ્વરૂપ ગુરુ વિના યથાર્થ ભક્તિ પણ ન થઈ શકે, પરમ આનંદની પ્રાપ્તિ ન થાય અને ત્રિવિધ તાપનો નાશ પણ ન થાય.","Brahmaswarūp guru vinā yathārth bhakti paṇ na thaī shake, param ānandnī prāpti na thāy ane trividh tāpano nāsh paṇ na thāy.",https://baps.box.com/shared/static/hnj4nfy11aylt12yyrpi3tboy1fto11s.mp3,1,"Naivā’pi tattvato bhaktih paramānanda-prāpaṇam ।
Nā’pi trividha-tāpānām nāsho Brahma-gurum vinā ॥24॥",https://baps.box.com/shared/static/jel4ebutiwn3bhja9rqyckdikgc6k6kj.mp3,shastri
Shloka 25,"Therefore, one should always take the refuge of the manifest Aksharbrahman guru, who enables one to attain all objectives and experience Paramatma.",આથી સર્વ અર્થની સિદ્ધિ કરે તથા પરમાત્માનો અનુભવ કરાવે તેવા પ્રત્યક્ષ અક્ષરબ્રહ્મ ગુરુનો આશરો સદાય કરવો.,Āthī sarva arthnī siddhi kare tathā Paramātmāno anubhav karāve tevā pratyakṣh Akṣharbrahma guruno āsharo sadāy karavo.,https://baps.box.com/shared/static/nfuj9ezitgw2b20fc4qytz7wighcxhe0.mp3,1,"Atah samāshrayen-nityam pratyakṣham Akṣharam gurum ।
Sarva-siddhi-karam divyam Paramātmā’nubhāvakam ॥25॥",https://baps.box.com/shared/static/r5q25i08ezfbeodtla7t4y7g0xkweplg.mp3,shastri
Shloka 26,"All satsangis should always renounce all harmful addictions, as addictions cause numerous illnesses and miseries.",સર્વ સત્સંગીઓએ સર્વે દુર્વ્યસનોનો સદાય ત્યાગ કરવો. કારણ કે વ્યસન અનેક રોગોનું તથા દુઃખોનું કારણ બને છે.,Sarva satsangīoe sarve durvyasanono sadāy tyāg karavo. Kāraṇ ke vyasan anek rogonu tathā dukhonu kāraṇ bane chhe.,https://baps.box.com/shared/static/gceg00vmhw4g8wm5m2su4xvdr2lbrdue.mp3,1,"Sarvam dur-vyasanam tyājyam sarvaih satsangibhih sadā ।
Aneka-roga-dukhānām kāraṇam vyasanam yataha ॥26॥",https://baps.box.com/shared/static/0vfi4ilp79cspceh9w8hyo6jc2ehrhxo.mp3,shastri
Shloka 27,"One should never consume intoxicating substances, such as alcohol, bhang and tobacco. One should also refrain from smoking.","સુરા, ભાંગ તથા તમાકુ ઇત્યાદિ જે જે પદાર્થો માદક હોય તે ક્યારેય ખાવા કે પીવા નહીં તથા ધૂમ્રપાનનો પણ ત્યાગ કરવો.","Surā, bhāng tathā tamāku ityādi je je padārtho mādak hoy te kyārey khāvā ke pīvā nahī tathā dhūmra-pānno paṇ tyāg karavo.",https://baps.box.com/shared/static/aa4xbmyrpdhfv9kgdllxw80rccfj642h.mp3,1,"Surā-bhangā-tamālādi yad yad bhaveddhi mādakam ।
Tad bhakṣhayet piben-naiva dhūmra-pānam api tyajet ॥27॥",https://baps.box.com/shared/static/u2gje5fnk6qm881sgb2c6rzjxdmigau3.mp3,shastri
Shloka 28,All women and men should never engage in any form of gambling or adultery.,સર્વે સ્ત્રી તથા પુરુષોએ સર્વ પ્રકારના જુગારનો તથા વ્યભિચારનો ત્યાગ કરવો.,Sarve strī tathā puruṣhoe sarva prakārnā jugārno tathā vyabhichārno tyāg karavo.,https://baps.box.com/shared/static/gws7oxmhkr85nour7x23r2q4xngakotf.mp3,1,"Pari-tyājyam sadā dyūtam sarvaih sarva-prakārakam ।
Tyaktavyo vyabhichārash-cha nārībhih puruṣhais-tathā ॥28॥",https://baps.box.com/shared/static/3k0ii8tqc3ymaikyd2cwm9i9afx0y5kx.mp3,shastri
Shloka 29,"Satsangis should never eat meat, fish, eggs, onions, garlic or hing. ","સત્સંગી જનોએ ક્યારેય માંસ, માછલી, ઈંડાં તથા ડુંગળી, લસણ, હિંગ ન ખાવાં.","Satsangī janoe kyārey māns, māchhalī, īnḍā tathā ḍungaḷī, lasaṇ, hing na khāvā.",https://baps.box.com/shared/static/hsjxqnq7kydpdjxcjq6y2nlqsmiv4m31.mp3,1,"Mānsam matsyam tathā’ṇḍāni bhakṣhayeyur na karhichit ।
Palāṇḍum lashunam hingu na cha satsangino janāhā ॥29॥",https://baps.box.com/shared/static/1zyx1i4gyg45ccq3ovfa7lo3pz7c8xzq.mp3,shastri
Shloka 30,"One should consume water, milk and other drinkable items [only] after they have been filtered. Food items and beverages that are forbidden should never be consumed.",પાણી તથા દૂધ ઇત્યાદિ પેય પદાર્થો ગાળેલા ગ્રહણ કરવા. જે ખાદ્ય વસ્તુ તથા પીણાં અશુદ્ધ હોય તે ક્યારેય ગ્રહણ ન કરવાં.,Pāṇī tathā dūdh ityādi peya padārtho gāḷelā grahaṇ karavā. Je khādya vastu tathā pīṇā ashuddha hoya te kyārey grahaṇ na karavā.,https://baps.box.com/shared/static/b8v0vdqo7jekm0bgjfyg8irxxm3t4qda.mp3,1,"Pātavyam gālitam peyam jalam dugdhādikam tathā ।
Khādyam pānam ashuddham yad gṛahṇīyād vastu tan-nahi ॥30॥",https://baps.box.com/shared/static/v5p9xfq7kw96fj2ifh7v8aab6k9b8n01.mp3,shastri
Shloka 31,"Satsangis should never steal. Even for the sake of dharma, one should never commit theft.",સત્સંગીઓએ ચોરી ક્યારેય ન કરવી. ધર્મને અર્થે પણ ચોરી ક્યારેય ન કરવી.,Satsangīoe chorī kyārey na karavī. Dharmane arthe paṇ chorī kyārey na karavī.,https://baps.box.com/shared/static/lw0y1xdgxo4aofi6rhzkktajp3cip0nr.mp3,1,"Chauryam na karhichit kāryam satsangam āshritair janaihi ।
Dharmārtham api no kāryam chora-kāryam tu karhichit ॥31॥",https://baps.box.com/shared/static/ui4v489vfwjhhlb74e84f1ph8wiwe64b.mp3,shastri
Shloka 32,One should never take even objects such as flowers or fruits without the consent of their owners. Taking without consent is a subtle form of theft.,"પુષ્પ, ફળો જેવી વસ્તુ પણ તેના ધણીની પરવાનગી વગર ન લેવી. પરવાનગી વગર લેવું તે સૂક્ષ્મ ચોરી કહેવાય છે.","Puṣhp, faḷo jevī vastu paṇ tenā dhaṇīnī paravāngī vagar na levī. Paravāngī vagar levu te sūkṣhma chorī kahevāy chhe.",https://baps.box.com/shared/static/v0tmm8hr4he1nw6aiigkz33l8txh5tnr.mp3,1,"Naivā’nya-svāmikam grāhyam tad-anugnām vinā svayam ।
Puṣhpa-falādyapi vastu sūkṣhma-chauryam tad uchyate ॥32॥",https://baps.box.com/shared/static/8m5xdnqjddles9tftn4mxdhv4qu3i929.mp3,shastri
Shloka 33-34,"One should never kill humans, animals, birds and bugs or other insects and creatures. The Shrutis, Smrutis and other sacred texts clearly describe non-violence as the highest dharma and violence as adharma.","ક્યારેય મનુષ્ય, પશુ, પક્ષી, તથા માંકડ આદિક કોઈ પણ જીવજંતુઓની હિંસા ન કરવી. અહિંસા પરમ ધર્મ છે, હિંસા અધર્મ છે એમ શ્રુતિ-સ્મૃત્યાદિ શાસ્ત્રોમાં સ્પષ્ટ કહેવામાં આવ્યું છે.","Kyārey manuṣhya, pashu, pakṣhī, tathā mānkaḍ ādik koī paṇ jīv-jantuonī hinsā na karavī. Ahinsā param dharma chhe, hinsā adharma chhe em Shruti-Smṛutyādi shāstromā spaṣhṭa kahevāmā āvyu chhe.",https://baps.box.com/shared/static/4r3negbs1pvp6eg32vawts5yslzlq9as.mp3,2,"Manuṣhyāṇām pashūnām vā matkuṇādesh-cha pakṣhiṇām ।
Keṣhānchij-jīva-jantūnām hinsā kāryā na karhichit ॥33॥
Ahinsā paramo dharmo hinsā tvadharma-rūpiṇī ।
Shruti-smṛutyādi-shāstreṣhu sfuṭam evam prakīrtitam ॥34॥",https://baps.box.com/shared/static/3fbrlpf2idjybwd7xqj1o6m4ly5xnzr9.mp3,shastri
Shloka 35,"Even for a yagna, satsangis should never harm goats or any other innocent animals.",સત્સંગીઓએ યજ્ઞને અર્થે પણ બકરાં વગેરે નિર્દોષ પ્રાણીઓની હિંસા ક્યારેય ન જ કરવી.,Satsangīoe yagnane arthe paṇ bakarā vagere nirdoṣh prāṇīonī hinsā kyārey na ja karavī.,https://baps.box.com/shared/static/piqj5q7ijr7pvggf2j70h3oxy577nbxo.mp3,1,"Yāgārtham apyajādīnām nirdoṣhāṇām hi prāṇinām ।
Hinsanam naiva kartavyam satsangibhihi kadāchana ॥35॥",https://baps.box.com/shared/static/5jiq84wqkey8vh1wsc45inttec1nikmx.mp3,shastri
Shloka 36,"When yagnas are held, they should only be conducted without harming any beings and according to the Sampraday’s principles.",યાગાદિ કરવાના થાય ત્યારે સંપ્રદાયના સિદ્ધાંતને અનુસરીને હિંસારહિત જ કરવા.,Yāgādi karavānā thāy tyāre sampradāynā siddhāntne anusarīne hinsā-rahit ja karavā.,https://baps.box.com/shared/static/fietaxv06shkun320we9i8ogk25gxvty.mp3,1,"Yāgādike cha kartavye siddhāntam sāmpradāyikam ।
Anusṛutya hi kartavyam hinsā-rahitam eva tat ॥36॥",https://baps.box.com/shared/static/30af8oiovirkoccibylapku4jeb1l2tv.mp3,shastri
Shloka 37,"Satsangis should never eat meat, even if it is considered to be the remnant of a yagna or sanctified by the deities.",યજ્ઞનો શેષ ગણીને કે પછી દેવતાના નૈવેદ્ય રૂપે પણ સત્સંગીઓએ ક્યારેય માંસ ન જ ખાવું.,Yagnano sheṣh gaṇīne ke pachhī devatānā naivedya rūpe paṇ satsangīoe kyārey māns na ja khāvu.,https://baps.box.com/shared/static/49ly89fwm6f3gyrqy6whs1oij4x2ba2c.mp3,1,"Matvā’pi yagna-sheṣham cha vā’pi deva-niveditam ।
Mānsam kadāpi bhakṣhyam na satsangam āshritair-janaihi ॥37॥",https://baps.box.com/shared/static/wcztrhbvycee7cya6d8032u4hh7pybks.mp3,shastri
